Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA, Application Number(1), Application Number(2), Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes
Lupron,leuprolide acetate,TAP Pharmaceuticals,NDA,19010,,,Injectable,Injection,,,,,12/28/1983,4/9/1985,1985,palliative treatment of advanced prostatic cancer,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Seldane,terfenadine,Merrell-Dow,NDA,18949,,,Tablet,Oral,,,,,3/1/1983,5/8/1985,1985,"indicated for the relief of symptoms associated with seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus and lacrimation",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ridaura,auranofin,SmithKline & French,NDA,18689,,,Capsule,Oral,,,,,10/5/1981,5/24/1985,1985,"indicated in the management of adults with active, classical, or definite rheumatoid arthritis (ARA criteria) who have had an insufficient therapeutic response to, or are intolerant of, an adequate trial of full doses of one or more nonsteroidal anti-inflammatory drugs",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Marinol,dronabinol,Unimed,NDA,18651,,,Capsule,Oral,,,,,6/25/1981,5/31/1985,1985,treatment of the nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional anti-emetic treatment,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Fortaz,ceftazidime,Glaxo,NDA,50578,,,Injectable,Injection,,,,,5/23/1983,7/19/1985,1985,"treatment of patients with following infections caused by susceptible strains of designated organisms: lower respiratory infections including pneumonia, skin and skin structure infections, urinary tract infections, bacterial septicemia, bone and joint infections, gynecological infections, intra-abdominal infections including peritonitis, central nervous system infections including meningitis",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Hexabrix,"ioxaglate meglumine, ioxaglate sodium",Mallinckrodt,NDA,18905,,,Injectable,Injection,,,,,11/19/1982,7/26/1985,1985,"indicated for cerebral angiography, peripheral arteriography, selective visceral arteriography and selective coronary arteriography with or without left ventriculography",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Baros Effervescent,"tartaric acid, sodium bicarbonate",Mallinckrodt,NDA,18509,,,"Granule, Effervescent",Oral,,,,,6/9/1980,8/7/1985,1985,indictated for double-contrast radiographic imaging of the upper gastrointestinal tract,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Sulcosyn,sulconazole nitrate,Syntex,NDA,18738,,,Solution,Topical,,,,,6/15/1983,8/30/1985,1985,"treatment of tinea cruris tinea corporis caused by Trichophyton mentagrophytes, Epidermophyton floccosum, and Microeporam canis; and for the treatment of tinea versicolor",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Betoptic,betaxolol hydrochloride,Alcon,NDA,19270,,,Solution/Drops,Ophthalmic,,,,,5/4/1984,8/30/1985,1985,"indicated in the treatment of patients with chronic open-angle glaucoma, patients with elevated intraocular pressure (ocular hypertensive patients), patients with glaucoma or ocular hypertension who have reactive airway disease, patients with glaucoma or ocular hypertension who are currently on multiple anti-glaucoma therapy",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Protropin,somatrem,Genentech,NDA,19107,,,Injectable,Injection,,,,,9/1/1983,10/17/1985,1985,long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Moctanin,monooctanoin,Ascot Hospital,NDA,19368,,,Liquid,"Perfusion, Biliary",,,,,9/25/1984,10/29/1985,1985,"indicated as a solubilizing agent for cholesterol (radiolucent) gallstones retained in the biliary tract of patients following cholecystectomy, when other means of reducing cholesterol stones retained in the common bile duct have failed or cannot be undertaken",,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Tambocor,flecainide acetate,Riker,NDA,18830,,,Tablet,Oral,,,,,12/21/1982,10/31/1985,1985,"treatment of documented life-threatening ventricular arrhythmias, such as sustained ventricular tachycardia; symptomatic nonsustained ventricular tachycardia and frequent premature ventricular complexes",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
